Session ID,Time,JKP102,JKP104,JKP110,JKP112,JKP202,JKP204,JKP210,JKP212
1,M8.0,1,,1,1,1,,1,1
2,M8.5,1,,1,1,1,1,1,1
3,M9.0,1,,1,1,1,1,1,1
4,M9.5,1,1,1,1,1,1,1,1
5,M10.0,1,1,,1,1,1,1,1
6,M10.5,1,1,,1,1,1,1,1
7,M11.0,,1,1,1,1,,1,1
8,M11.5,,1,1,1,1,,1,1
9,M12.0,,1,1,,1,,,
10,M12.5,1,1,1,1,1,,1,1
11,M13.0,1,1,1,1,1,,1,1
12,M13.5,1,1,1,1,1,,1,1
13,M14.0,1,1,1,1,1,1,1,1
14,M14.5,1,1,1,1,1,1,1,1
15,M15.0,1,1,1,1,1,1,1,1
16,M15.5,1,1,1,1,1,1,1,1
17,M16.0,1,1,1,1,1,1,1,1
18,M16.5,1,1,1,1,1,,1,1
19,M17.0,1,1,1,1,1,,,1
20,M17.5,1,1,1,1,1,,,1
21,M18.0,,,,1,1,,1,1
22,M18.5,1,1,1,1,1,1,1,1
23,M19.0,1,1,1,1,1,1,1,1
24,M19.5,1,1,1,1,1,1,1,1
25,M20.0,1,1,1,1,1,1,1,1
26,M20.5,1,1,1,1,1,1,1,1
27,M21.0,1,1,1,1,1,1,1,1
28,M21.5,1,1,1,1,1,1,1,
29,T8.0,,,1,,1,,1,1
30,T8.5,,,1,,1,1,1,1
31,T9.0,,,1,,1,1,1,1
32,T9.5,1,1,,,1,1,1,1
33,T10.0,1,1,1,,1,1,1,1
34,T10.5,1,1,1,,1,1,1,1
35,T11.0,1,1,1,,1,1,1,1
36,T11.5,1,1,1,,1,1,1,1
37,T12.0,1,1,1,,1,1,,
38,T12.5,1,1,1,1,1,1,,1
39,T13.0,1,1,1,1,1,,1,1
40,T13.5,1,1,1,1,1,,1,1
41,T14.0,1,1,1,1,1,1,1,1
42,T14.5,1,1,1,1,1,1,1,1
43,T15.0,1,1,1,1,1,1,1,1
44,T15.5,1,1,1,1,1,1,1,1
45,T16.0,1,,1,1,1,1,1,1
46,T16.5,1,,1,1,1,,1,1
47,T17.0,1,,1,1,1,,,
48,T17.5,1,,1,1,1,,,
49,T18.0,1,,,1,1,,,
50,T18.5,1,1,1,1,1,1,1,1
51,T19.0,1,1,1,1,1,1,1,1
52,T19.5,1,1,1,1,1,1,1,1
53,T20.0,1,1,1,1,1,1,1,1
54,T20.5,1,1,1,1,1,1,1,1
55,T21.0,1,1,1,1,1,1,1,1
56,T21.5,1,1,1,1,1,1,,
57,W8.0,1,,1,1,1,,1,1
58,W8.5,1,,1,1,1,1,1,1
59,W9.0,1,,1,1,1,1,1,1
60,W9.5,1,1,1,1,1,1,1,1
61,W10.0,1,1,,1,1,1,1,1
62,W10.5,1,1,,1,1,1,1,1
63,W11.0,,1,1,1,1,,1,1
64,W11.5,,1,1,1,1,,1,1
65,W12.0,,1,1,,1,,,
66,W12.5,1,1,1,1,1,,1,1
67,W13.0,1,1,1,1,1,,1,1
68,W13.5,1,,1,1,1,,1,1
69,W14.0,1,,1,1,1,1,1,1
70,W14.5,1,,1,1,1,1,1,1
71,W15.0,1,,1,1,1,1,1,1
72,W15.5,1,,1,1,1,1,1,1
73,W16.0,1,1,1,1,1,1,1,1
74,W16.5,1,1,1,1,1,,1,1
75,W17.0,1,1,1,1,1,,,1
76,W17.5,1,1,1,1,1,,,1
77,W18.0,,,,1,1,,1,1
78,W18.5,1,1,1,1,1,1,1,1
79,W19.0,,1,1,1,1,1,1,1
80,W19.5,,1,1,1,1,1,1,1
81,W20.0,,1,1,1,1,1,1,1
82,W20.5,,1,1,1,1,1,1,1
83,W21.0,1,1,1,1,1,1,1,1
84,W21.5,1,1,1,1,1,1,1,
85,Th8.0,,,1,,1,,1,1
86,Th8.5,,,1,,1,1,1,1
87,Th9.0,,,1,,1,1,1,1
88,Th9.5,1,1,,,1,1,1,1
89,Th10.0,1,1,1,,1,1,1,1
90,Th10.5,1,1,1,,1,1,1,1
91,Th11.0,1,1,1,,1,1,1,1
92,Th11.5,1,1,1,,1,1,1,1
93,Th12.0,1,1,1,,1,1,,
94,Th12.5,1,1,1,1,1,1,,1
95,Th13.0,1,1,1,1,1,,1,1
96,Th13.5,1,1,1,1,1,,1,1
97,Th14.0,1,1,1,1,1,1,1,1
98,Th14.5,1,1,1,1,1,1,1,1
99,Th15.0,1,1,1,1,1,1,1,1
100,Th15.5,1,1,1,1,1,1,1,1
101,Th16.0,1,,1,1,1,1,1,1
102,Th16.5,1,,1,1,1,,1,1
103,Th17.0,1,,1,1,1,,,
104,Th17.5,1,,1,1,1,,,
105,Th18.0,1,,,1,1,,,
106,Th18.5,1,1,1,1,1,1,1,1
107,Th19.0,1,1,1,1,1,1,1,1
108,Th19.5,1,1,1,1,1,1,1,1
109,Th20.0,1,1,1,1,1,1,1,1
110,Th20.5,1,1,1,1,1,1,1,1
111,Th21.0,1,1,1,1,1,1,1,1
112,Th21.5,1,1,1,1,,1,,
113,F8.0,1,1,1,1,,1,1,1
114,F8.5,1,1,1,1,,1,1,1
115,F9.0,1,1,1,1,,1,1,1
116,F9.5,1,1,1,1,,1,1,1
117,F10.0,1,1,1,1,1,1,1,1
118,F10.5,1,1,1,1,1,1,1,1
119,F11.0,1,1,1,1,1,1,1,1
120,F11.5,1,1,1,1,1,1,1,1
121,F12.0,1,1,1,,1,1,1,
122,F12.5,1,1,1,,1,1,1,
123,F13.0,1,1,1,1,1,1,1,1
124,F13.5,1,1,1,1,1,1,1,1
125,F14.0,1,1,1,1,1,1,1,1
126,F14.5,1,1,1,1,1,1,1,1
127,F15.0,1,1,1,,1,1,1,1
128,F15.5,1,1,1,1,1,1,1,1
129,F16.0,1,1,1,1,1,1,1,1
130,F16.5,1,1,1,1,1,1,1,1
131,F17.0,1,1,1,1,1,1,1,
132,F17.5,1,1,1,1,1,1,1,
133,F18.0,1,1,1,1,1,1,1,
134,F18.5,1,1,1,1,1,1,1,
135,F19.0,1,1,1,1,1,1,1,
136,F19.5,1,1,1,1,1,,1,
137,F20.0,1,1,1,1,1,,1,
138,F20.5,1,1,1,1,1,,1,
139,F21.0,1,1,1,1,1,,1,
140,F21.5,1,1,1,1,1,,1,
