Session ID,Time,JKP102,JKP104,JKP110,JKP112,JKP202,JKP204,JKP210,JKP212
1,M8.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2,M8.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3,M9.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
4,M9.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,M10.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
6,M10.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
7,M11.0,DSO-570,1.0,1.0,1.0,1.0,0.0,1.0,1.0
8,M11.5,DSO-570,1.0,1.0,1.0,1.0,0.0,1.0,1.0
9,M12.0,DSO-570,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,M12.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
11,M13.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
12,M13.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
13,M14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,M14.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,M15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,M15.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,M16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,M16.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
19,M17.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
20,M17.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
21,M18.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
22,M18.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,M19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,M19.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,M20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,M20.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,M21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,M21.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
29,T8.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
30,T8.5,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
31,T9.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
32,T9.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
33,T10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
34,T10.5,1.0,1.0,1.0,GSBA-528,1.0,1.0,1.0,1.0
35,T11.0,1.0,1.0,1.0,GSBA-528,1.0,1.0,1.0,1.0
36,T11.5,1.0,1.0,1.0,GSBA-528,1.0,1.0,1.0,1.0
37,T12.0,1.0,1.0,1.0,GSBA-528,1.0,1.0,0.0,0.0
38,T12.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
39,T13.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
40,T13.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
41,T14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,T14.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,T15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,T15.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,T16.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
46,T16.5,1.0,0.0,1.0,1.0,1.0,MKT-566,1.0,1.0
47,T17.0,1.0,0.0,1.0,1.0,1.0,MKT-566,XYZ-123,0.0
48,T17.5,1.0,0.0,1.0,1.0,1.0,MKT-566,XYZ-123,0.0
49,T18.0,1.0,0.0,0.0,1.0,1.0,0.0,XYZ-123,0.0
50,T18.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,T19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,T19.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,T20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,T20.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,T21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,T21.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
57,W8.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
58,W8.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
59,W9.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
60,W9.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,W10.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
62,W10.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
63,W11.0,DSO-570,1.0,1.0,1.0,1.0,DSO-583,1.0,1.0
64,W11.5,DSO-570,1.0,1.0,1.0,1.0,DSO-583,1.0,1.0
65,W12.0,DSO-570,1.0,1.0,0.0,1.0,DSO-583,0.0,0.0
66,W12.5,1.0,1.0,1.0,1.0,1.0,DSO-583,1.0,1.0
67,W13.0,1.0,1.0,1.0,1.0,1.0,DSO-583,1.0,1.0
68,W13.5,1.0,0.0,1.0,1.0,1.0,DSO-583,1.0,1.0
69,W14.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
70,W14.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
71,W15.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
